date,number,code,login,birthDay,gender,payway,getamount,payamount,flexible,paytype,annualmoney,type,fundcode0,ratio0,fundcode1,ratio1,fundcode2,ratio2,addcode0,addpaytype0,addperiod0,addyear0,addamount0,addplan0,addunit0,addcode1,addpaytype1,addperiod1,addyear1,addamount1,addplan1,addunit1
105/05/09,00000583420,VNL,STDB0001,570101,1,01,300000,5000,0,01,30000,367,CAMAR,100,ACMAI,50,,,MIR,1,1,10,5574,3,2,NCR,1,1,20,3146,3,2
105/05/09,00000583370,VNL,STDB0001,750101,1,01,1000000,60000,0,01,30000,367,SIC01,100,ACMAI,50,,,XHR,1,1,10,1598,3,3,NCR,1,1,20,5370,3,3
105/05/09,00000583380,VNL,STDB0001,500101,1,03,500000,60000,0,03,30000,367,SIC01,100,ACMAI,50,,,XCR,1,1,10,500000,3,2,XDR,1,1,20,500000,3,2
105/05/09,00000583390,VNL,STDB0001,570101,1,12,300000,24000,0,12,30000,367,CAMAR,100,ACMAI,50,,,XHR,1,1,10,100000,3,2,NCR,1,1,20,100000,3,2
105/05/09,00000583400,VNL,STDB0001,570101,1,12,300000,24000,0,12,30000,367,CAMAR,100,ACMAI,50,,,XHR,1,1,10,100000,3,2,NCR,1,1,20,100000,3,2

105/05/09,00000583430,VNL,STDB0001,750101,1,01,1000000,24000,0,01,30000,367,SIC01,100,ACMAI,50,,,QFR,1,1,10,10000,3,2,NCR,1,1,20,100000,3,2
105/05/09,00000583450,VNL,STDB0001,750101,1,01,1000000,24000,0,01,30000,367,SIC01,100,ACMAI,50,,,XDR,1,1,10,500000,3,2,NCR,1,1,20,100000,3,2
105/05/09,00000583460,VNL,STDB0001,570101,1,01,1060000,4000,0,01,30000,367,CAMAR,100,ACMAI,50,,,XHR,1,1,10,6127,3,2,NCR,1,1,20,100000,3,2
105/05/09,00000583470,VNL,STDB0001,570101,1,12,300000,6000,0,12,30000,367,CAMAR,100,ACMAI,50,,,XHR,1,1,10,2666,3,2,NCR,1,1,20,100000,3,2
